English,Urdu
I like to drink cold brew,مجھے کولڈ برو پینا پسند ہے
I’m going to drink hot coffee,میں گرم کافی پینے جا رہا ہوں
I’m drinking some boiled water,میں اُبالا ہوا پانی پی رہا ہوں
Do you prefer watching movies or reading?,کیا آپ کو فلمیں دیکھنا پسند ہے یا پڑھنا؟
Can you invite me to your party?,کیا آپ مجھے اپنی پارٹی میں مدعو کر سکتے ہیں؟
Could you explain this?,کیا آپ یہ سمجھا سکتے ہیں؟
I am looking for my keys,میں اپنی چابیاں تلاش کر رہا ہوں
Do you need a ride?,کیا آپ کو سواری چاہیے؟
I like lime juice,مجھے چونے کا جوس پسند ہے
I’m going to buy some fruit,میں کچھ پھل خریدنے جا رہا ہوں
What’s the matter?,کیا بات ہے؟
I like fruit punch,مجھے پھلوں کا پنچ پسند ہے
I’m drinking turmeric tea,میں ہلدی کی چائے پی رہا ہوں
I like iced tea,مجھے ٹھنڈی چائے پسند ہے
I’m drinking hot coffee,میں گرم کافی پی رہا ہوں
I don’t like pears,مجھے ناشپاتی پسند نہیں ہے
I’m going to drink sweet tea,میں میٹھی چائے پینے جا رہا ہوں
I will help you with that,میں آپ کی مدد کروں گا
I don’t like seafood,مجھے سمندری کھانا پسند نہیں ہے
I’m going to drink mint water,میں پودینہ کا پانی پینے جا رہا ہوں
What time is it?,کتنا وقت ہوا ہے؟
What did you do today?,آج آپ نے کیا کیا؟
I’m drinking white tea,میں سفید چائے پی رہا ہوں
I’m feeling a little tired,مجھے تھوڑا تھکا ہوا محسوس ہو رہا ہے
Do you want cold chocolate?,کیا آپ کو ٹھنڈی چاکلیٹ چاہیے؟
I like to drink banana smoothie,مجھے کیلے کا اسموتھی پینا پسند ہے
I like to drink blueberry smoothie,مجھے بلوبیری کا اسموتھی پینا پسند ہے
I like to drink iced coffee,مجھے ٹھنڈی کافی پینا پسند ہے
I’m waiting for my friend,میں اپنے دوست کا انتظار کر رہا ہوں
Do you like mangoes?,کیا آپ کو آم پسند ہیں؟
Do you want macchiato?,کیا آپ کو میکیاٹو چاہیے؟
He is sleeping,وہ سو رہا ہے
I like to drink coconut milk,مجھے ناریل کا دودھ پینا پسند ہے
Good night,شب بخیر
This is my favorite book,یہ میری پسندیدہ کتاب ہے
I didn’t like it,مجھے یہ پسند نہیں آیا
I need some fresh air,مجھے تازہ ہوا کی ضرورت ہے
I’m going to a wedding,میں شادی میں جا رہا ہوں
This is my favorite song,یہ میری پسندیدہ گانا ہے
I like fresh apple juice,مجھے تازہ سیب کا جوس پسند ہے
I like eating chocolate,مجھے چاکلیٹ کھانا پسند ہے
I’m drinking papaya smoothie,میں پپیتے کا اسموتھی پی رہا ہوں
I will see you later,میں آپ سے بعد میں ملوں گا
I like to drink carrot juice,مجھے گاجر کا رس پینا پسند ہے
Do you celebrate Christmas?,کیا آپ کرسمس مناتے ہیں؟
I’m going to drink mint tea,میں پودینہ کی چائے پینے جا رہا ہوں
What do you want for lunch?,آپ دوپہر کے کھانے کے لئے کیا چاہتے ہیں؟
I’m drinking iced mocha,میں آئسڈ موکا پی رہا ہوں
My name is Ali,میرا نام علی ہے
I’m busy right now,میں ابھی مصروف ہوں
I’m going to cook dinner,میں رات کا کھانا پکانے جا رہا ہوں
I’m going to eat a mango,میں آم کھانے جا رہا ہوں
I’m drinking herbal water,میں جڑی بوٹیوں کا پانی پی رہا ہوں
I’m making some sandwiches,میں سینڈوچ بنا رہا ہوں
Do you like watermelon?,کیا آپ کو تربوز پسند ہے؟
I’m sorry,مجھے افسوس ہے
I’m not sure,مجھے یقین نہیں ہے
I like spicy food,مجھے مسالے دار کھانا پسند ہے
I am sad,میں غمگین ہوں
I’ll be there soon,میں جلد وہاں پہنچوں گا
I need to buy some muffins,مجھے کچھ مفلن خریدنے ہیں
I need to buy some bread,مجھے کچھ روٹی خریدنی ہے
I’m drinking some iced tea,میں کچھ ٹھنڈی چائے پی رہا ہوں
I’m drinking milk coffee,میں دودھ والی کافی پی رہا ہوں
I like to drink coconut water,مجھے ناریل کا پانی پینا پسند ہے
I like pizza,مجھے پیزا پسند ہے
I am going to the gym,میں جم جا رہا ہوں
I’m going to eat an orange,میں سنترہ کھانے جا رہا ہوں
Can I ask you a question?,کیا میں آپ سے سوال پوچھ سکتا ہوں؟
I’m drinking some soda water,میں سوڈا پانی پی رہا ہوں
I’m going to drink some iced tea,میں ٹھنڈی چائے پینے جا رہا ہوں
Please forgive me,براہ کرم مجھے معاف کریں
Do you want a milkshake?,کیا آپ کو ملکہ شیک چاہیے؟
I’m trying to concentrate,میں توجہ مرکوز کرنے کی کوشش کر رہا ہوں
Do you want turmeric tea?,کیا آپ کو ہلدی کی چائے چاہیے؟
I’m going to eat some strawberries,میں کچھ اسٹرابیری کھانے جا رہا ہوں
Do you want green tea with lemon?,کیا آپ کو لیموں والی سبز چائے چاہیے؟
I’m going to drink papaya juice,میں پپیتے کا رس پینے جا رہا ہوں
I’m going to buy some cake,میں کچھ کیک خریدنے جا رہا ہوں
Do you want some snacks?,کیا آپ کچھ اسنیکس چاہتے ہیں؟
I like to drink avocado smoothie,مجھے ایووکاڈو کا اسموتھی پینا پسند ہے
I’m drinking fresh carrot juice,میں تازہ گاجر کا جوس پی رہا ہوں
I’m drinking carrot juice,میں گاجر کا رس پی رہا ہوں
I am going to work,میں کام پر جا رہا ہوں
I’m going to make some milk coffee,میں دودھ والی کافی بنانے جا رہا ہوں
I’m eating some cherries,میں کچھ چیریاں کھا رہا ہوں
I’m going to drink kale smoothie,میں کیل کا اسموتھی پینے جا رہا ہوں
I don’t eat meat,میں گوشت نہیں کھاتا
I like to drink black coffee,مجھے کالی کافی پینا پسند ہے
I need to buy some chicken,مجھے کچھ چکن خریدنی ہے
Can I have a scoop of vanilla ice cream?,کیا مجھے ایک اسکوپ ونیلا آئس کریم مل سکتی ہے؟
I like to drink protein shake,مجھے پروٹین شیک پینا پسند ہے
Do you want instant coffee?,کیا آپ کو انسٹنٹ کافی چاہیے؟
I like eating cheese,مجھے پنیر کھانا پسند ہے
This is my first time here,یہ میرا یہاں پہلا وقت ہے
I’m drinking fresh juice,میں تازہ رس پی رہا ہوں
I’m drinking ginger water,میں ادرک کا پانی پی رہا ہوں
I’ll call you later,میں آپ کو بعد میں کال کروں گا
I like to eat fruit,مجھے پھل کھانا پسند ہے
I’m going to drink some carrot juice,میں گاجر کا جوس پینے جا رہا ہوں
I’m going to drink cappuccino,میں کیپوچینو پینے جا رہا ہوں
Do you like cold drinks?,کیا آپ کو ٹھنڈے مشروب پسند ہیں؟
I’m going to make some black tea,میں سیاہ چائے بنانے جا رہا ہوں
Do you want pomegranate juice?,کیا آپ کو انار کا رس چاہیے؟
This tastes amazing,اس کا ذائقہ شاندار ہے
Do you want lime juice?,کیا آپ کو چونے کا جوس چاہیے؟
I’m going to drink cold chocolate,میں ٹھنڈی چاکلیٹ پینے جا رہا ہوں
I like to drink peppermint tea,مجھے پودینہ کی چائے پینا پسند ہے
I’m learning how to play chess,میں شطرنج کھیلنا سیکھ رہا ہوں
Do you want sugar in your coffee?,کیا آپ اپنی کافی میں چینی چاہتے ہیں؟
Can you recommend a good movie?,کیا آپ کوئی اچھی فلم تجویز کر سکتے ہیں؟
I’ll pay for this,میں اس کا بل ادا کروں گا
I don’t like this,مجھے یہ پسند نہیں ہے
Do you want cappuccino?,کیا آپ کو کیپوچینو چاہیے؟
Do you want cappuccino with milk?,کیا آپ کو دودھ کے ساتھ کیپوچینو چاہیے؟
I’m sorry for the inconvenience,اس تکلیف کے لئے مجھے افسوس ہے
I’m drinking flat white,میں فلیٹ وائٹ پی رہا ہوں
She’s a good cook,وہ اچھی باورچی ہے
I’m drinking mixed fruit smoothie,میں مکس پھلوں کا اسموتھی پی رہا ہوں
I’m going to buy some snacks,میں کچھ اسنیکس خریدنے جا رہا ہوں
I like to drink coffee,مجھے کافی پینا پسند ہے
I’m drinking ginger-lemon tea,میں ادرک لیموں کی چائے پی رہا ہوں
I like listening to music,مجھے موسیقی سننا پسند ہے
Do you like vegetables?,کیا آپ کو سبزیاں پسند ہیں؟
I like fresh grape juice,مجھے تازہ انگور کا جوس پسند ہے
I’m drinking cold brew,میں کولڈ برو پی رہا ہوں
This is a beautiful painting,یہ ایک خوبصورت پینٹنگ ہے
What is your favorite food?,آپ کا پسندیدہ کھانا کیا ہے؟
Do you want some soda?,کیا آپ سوڈا چاہتے ہیں؟
I’m going to drink ginger tea,میں ادرک کی چائے پینے جا رہا ہوں
I like to drink kiwi juice,مجھے کیوی کا رس پینا پسند ہے
I like to drink cold brew coffee,مجھے کولڈ برو کافی پینا پسند ہے
I’m drinking kiwi juice,میں کیوی کا رس پی رہا ہوں
I like strong coffee,مجھے مضبوط کافی پسند ہے
I’m eating some fish,میں کچھ مچھلی کھا رہا ہوں
I agree,میں متفق ہوں
Do you want hot chocolate?,کیا آپ کو گرم چاکلیٹ چاہیے؟
Do you want iced coffee with milk?,کیا آپ کو دودھ والی ٹھنڈی کافی چاہیے؟
I’m going to make some rice,میں چاول بنانے جا رہا ہوں
Can you tell me the time?,کیا آپ مجھے وقت بتا سکتے ہیں؟
I like to drink watermelon juice,مجھے تربوز کا رس پینا پسند ہے
What’s your favorite dessert?,آپ کا پسندیدہ میٹھا کیا ہے؟
Can you tell me where the station is?,کیا آپ مجھے اسٹیشن کا راستہ بتا سکتے ہیں؟
Do you want to join us for dinner?,کیا آپ ہمارے ساتھ رات کے کھانے کے لئے شامل ہونا چاہتے ہیں؟
Can you make fresh apple juice?,کیا آپ تازہ سیب کا جوس بنا سکتے ہیں؟
Do you like chicken?,کیا آپ کو چکن پسند ہے؟
I’m making some coffee,میں کافی بنا رہا ہوں
I love eating pizza,مجھے پیزا کھانا بہت پسند ہے
I’m trying to get some rest,میں آرام کرنے کی کوشش کر رہا ہوں
I’m eating a sandwich,میں سینڈوچ کھا رہا ہوں
I’m going to the hospital,میں ہسپتال جا رہا ہوں
I will help you with this task,میں آپ کی اس کام میں مدد کروں گا
I need a break,مجھے وقفہ چاہیے
She is an engineer,وہ انجینئر ہے
I’m allergic to nuts,مجھے گری دار میوے سے الرجی ہے
I like to drink latte,مجھے لیٹے پینا پسند ہے
I like fresh orange juice,مجھے تازہ سنترے کا جوس پسند ہے
Do you like seafood?,کیا آپ کو سمندری کھانا پسند ہے؟
I’m going to bed,میں سونے جا رہا ہوں
I don’t like grapes,مجھے انگور پسند نہیں ہیں
Do you want sweet tea?,کیا آپ کو میٹھی چائے چاہیے؟
I’m going to drink watermelon juice,میں تربوز کا رس پینے جا رہا ہوں
I work at a bank,میں بینک میں کام کرتا ہوں
I don’t have a phone,میرے پاس فون نہیں ہے
I’m going to cook some fish,میں مچھلی پکانے جا رہا ہوں
This is very simple,یہ بہت آسان ہے
I’m running out of time,میرے پاس وقت ختم ہو رہا ہے
Do you want to go to the park?,کیا آپ پارک جانا چاہتے ہیں؟
I’m going to eat a banana,میں کیلا کھانے جا رہا ہوں
Can you recommend a good place?,کیا آپ مجھے اچھا جگہ بتا سکتے ہیں؟
I like to eat oranges,مجھے سنترے کھانا پسند ہیں
I’m feeling a little sick,مجھے تھوڑا سا بیمار محسوس ہو رہا ہے
I’m making fresh apple juice,میں تازہ سیب کا جوس بنا رہا ہوں
I like eating cookies,مجھے کوکیز کھانا پسند ہیں
This food is very spicy,یہ کھانا بہت مصالحہ دار ہے
I’m so sorry,مجھے بہت افسوس ہے
I need to sleep,مجھے سونا ہے
I’m going to eat some vegetables,میں کچھ سبزیاں کھانے جا رہا ہوں
I’m drinking peppermint tea,میں پودینہ کی چائے پی رہا ہوں
I’m going to eat some grapes,میں کچھ انگور کھانے جا رہا ہوں
I’m going to drink some fresh juice,میں تازہ جوس پینے جا رہا ہوں
I’m drinking spinach juice,میں اسپینچ کا رس پی رہا ہوں
Can you turn on the light?,کیا آپ روشنی آن کر سکتے ہیں؟
Do you want papaya juice?,کیا آپ کو پپیتے کا رس چاہیے؟
I have to leave now,مجھے اب جانا ہے
Do you want a protein shake?,کیا آپ پروٹین شیک چاہتے ہیں؟
I’m going to a party tonight,میں آج رات پارٹی میں جا رہا ہوں
I like eating cherries,مجھے چیریاں کھانا پسند ہیں
I’m going to drink turmeric tea,میں ہلدی کی چائے پینے جا رہا ہوں
I forgot my keys,میں اپنی چابیاں بھول گیا ہوں
I’m going to the beach,میں سمندر کنارے جا رہا ہوں
I’m drinking green tea with lemon,میں لیموں والی سبز چائے پی رہا ہوں
I’ll wait for you,میں آپ کا انتظار کروں گا
I like to drink chai,مجھے چائے پینا پسند ہے
Do you like to dance?,کیا آپ کو ناچنا پسند ہے؟
It’s okay to feel sad,غمگین محسوس کرنا ٹھیک ہے
It’s not important,یہ اہم نہیں ہے
Let’s go on a picnic,چلیں پکنک پر چلتے ہیں
I don’t want coffee,مجھے کافی نہیں چاہیے
I like black tea,مجھے سیاہ چائے پسند ہے
I need to make a phone call,مجھے فون کال کرنی ہے
Where are you from?,آپ کہاں سے ہیں؟
I’m drinking milk,میں دودھ پی رہا ہوں
I like to travel by train,مجھے ٹرین سے سفر کرنا پسند ہے
Do you want some chai?,کیا آپ کو چائے چاہیے؟
I don’t like chocolate,مجھے چاکلیٹ پسند نہیں ہے
I need to clean my room,مجھے اپنا کمرہ صاف کرنا ہے
I am tired,میں تھکا ہوا ہوں
It’s not your fault,یہ آپ کی غلطی نہیں ہے
I’m drinking black tea,میں کالی چائے پی رہا ہوں
I need to wrap this gift,مجھے اس تحفے کو لپیٹنا ہے
I’m drinking chai,میں چائے پی رہا ہوں
I like to drink lemonade,مجھے لیموں کا مشروب پینا پسند ہے
I’m drinking strong coffee,میں مضبوط کافی پی رہا ہوں
I can’t dance,میں نہیں ناچ سکتا
Do you want coffee with milk?,کیا آپ کو دودھ والی کافی چاہیے؟
The airport is far from here,ہوائی اڈہ یہاں سے دور ہے
I’m trying to get in shape,میں فٹ ہونے کی کوشش کر رہا ہوں
I’ll come back later,میں بعد میں واپس آؤں گا
I like to drink pomegranate juice,مجھے انار کا رس پینا پسند ہے
I’m going to drink lemon water,میں لیموں کا پانی پینے جا رہا ہوں
I like to drink soy milk,مجھے سویا دودھ پینا پسند ہے
Do you want honey latte?,کیا آپ کو شہد والا لٹے چاہیے؟
I like eating salad,مجھے سلاد کھانا پسند ہے
I’m making some muffins,میں کچھ مفلن بنا رہا ہوں
I’m going to eat some peaches,میں کچھ آڑو کھانے جا رہا ہوں
I’m going to eat some fish,میں کچھ مچھلی کھانے جا رہا ہوں
I need some rest,مجھے آرام کی ضرورت ہے
I don’t understand,مجھے سمجھ نہیں آتی
I like apples,مجھے سیب پسند ہیں
I like to drink hot chocolate,مجھے گرم چاکلیٹ پینا پسند ہے
I’ll bring it tomorrow,میں اسے کل لے آؤں گا
I can’t do this,میں یہ نہیں کر سکتا
I need to buy some vegetables,مجھے کچھ سبزیاں خریدنی ہیں
I need to make some dumplings,مجھے کچھ دُمپلنگ بنانی ہیں
What time do you wake up?,آپ کتنے بجے اٹھتے ہیں؟
I like baking,مجھے بیکنگ کرنا پسند ہے
I like to drink tea with honey,مجھے شہد والی چائے پینا پسند ہے
I’m drinking lemonade,میں لیموں کا مشروب پی رہا ہوں
What’s your phone number?,آپ کا فون نمبر کیا ہے؟
I like to drink chamomile tea,مجھے کیمومائل چائے پینا پسند ہے
Do you want to eat a banana?,کیا آپ ایک کیلا کھانا چاہتے ہیں؟
I like to drink pineapple smoothie,مجھے انناس کا اسموتھی پینا پسند ہے
Where is the library?,کتب خانہ کہاں ہے؟
I’m going to drink pear juice,میں ناشپاتی کا رس پینے جا رہا ہوں
I forgot to bring my umbrella,میں اپنا چھتری لانا بھول گیا ہوں
I’m going to eat some fruit salad,میں پھلوں کا سلاد کھانے جا رہا ہوں
Do you want grape juice?,کیا آپ کو انگور کا رس چاہیے؟
She is very kind,وہ بہت مہربان ہے
What do you do?,آپ کیا کرتے ہیں؟
Can you help me find my keys?,کیا آپ میری چابیاں تلاش کرنے میں مدد کر سکتے ہیں؟
I’m baking a cake,میں کیک پکا رہا ہوں
I don’t eat beef,میں گوشت نہیں کھاتا
Do you like fish?,کیا آپ مچھلی پسند کرتے ہیں؟
Can I borrow your charger?,کیا میں آپ کا چارجر لے سکتا ہوں؟
I’m eating an apple,میں سیب کھا رہا ہوں
I am in a hurry,میں جلدی میں ہوں
I’m going for a jog,میں دوڑنے جا رہا ہوں
I don’t like shopping,مجھے خریداری پسند نہیں ہے
This book is interesting,یہ کتاب دلچسپ ہے
I’ll do it tomorrow,میں یہ کل کر لوں گا
Do you want lemon water?,کیا آپ کو لیموں کا پانی چاہیے؟
It’s not a big deal,یہ کوئی بڑی بات نہیں ہے
Can you help me find my way?,کیا آپ میری مدد کر سکتے ہیں؟
Do you play chess?,کیا آپ شطرنج کھیلتے ہیں؟
Do you want pineapple smoothie?,کیا آپ کو انناس کا اسموتھی چاہیے؟
How much is this?,یہ کتنے کا ہے؟
I need a new phone,مجھے نیا فون چاہیے
"I am fine, thank you",میں ٹھیک ہوں، شکریہ
I’m eating some noodles,میں کچھ نوڈلز کھا رہا ہوں
I’m playing a video game,میں ویڈیو گیم کھیل رہا ہوں
I like to play football,مجھے فٹ بال کھیلنا پسند ہے
I need to clear my mind,مجھے اپنا دماغ صاف کرنے کی ضرورت ہے
It’s 3 PM,یہ تین بجے ہیں
Let’s meet tomorrow,چلیں کل ملتے ہیں
This restaurant has great food,اس ریستوران کا کھانا بہت مزیدار ہے
I’m drinking fresh orange juice,میں تازہ سنترے کا جوس پی رہا ہوں
I don’t have any change,میرے پاس کوئی چھوٹے نوٹ نہیں ہیں
I need to upgrade my phone,مجھے اپنا فون اپ گریڈ کرنا ہے
I like to drink fruit juice,مجھے پھلوں کا جوس پینا پسند ہے
Can you make green tea?,کیا آپ سبز چائے بنا سکتے ہیں؟
Do you want chamomile tea?,کیا آپ کو کیمومائل چائے چاہیے؟
Can I get a glass of water?,کیا مجھے پانی کا گلاس مل سکتا ہے؟
I like fresh bread,مجھے تازہ روٹی پسند ہے
She is studying hard,وہ سخت محنت سے پڑھائی کر رہی ہے
Do you want an orange?,کیا آپ کو سنترہ چاہیے؟
Do you want avocado smoothie?,کیا آپ کو ایووکاڈو کا اسموتھی چاہیے؟
I’m going to drink grape juice,میں انگور کا رس پینے جا رہا ہوں
Where is my bag?,میرا بیگ کہاں ہے؟
I’m drinking mango smoothie,میں آم کا اسموتھی پی رہا ہوں
I’m feeling a little better,میں تھوڑا بہتر محسوس کر رہا ہوں
Do you want rice milk?,کیا آپ کو چاول کا دودھ چاہیے؟
Can you make me a sandwich?,کیا آپ مجھے سینڈوچ بنا کر دے سکتے ہیں؟
Where is the nearest bank?,قریب ترین بینک کہاں ہے؟
The bus is full,بس بھری ہوئی ہے
I need a refill,مجھے ریفِل کی ضرورت ہے
I’m going to drink guava juice,میں آم جوس پینے جا رہا ہوں
I’m going to drink espresso,میں ایسپریسو پینے جا رہا ہوں
I’m getting a massage,میں مساج کروا رہا ہوں
I like to drink grape juice,مجھے انگور کا رس پینا پسند ہے
I’m going to drink orange juice,میں سنترے کا رس پینے جا رہا ہوں
How much does this cost?,یہ کتنے کا ہے؟
I’m drinking some fruit water,میں پھلوں کا پانی پی رہا ہوں
I’m baking some cookies,میں کوکیز پکا رہا ہوں
Can you explain it again?,کیا آپ دوبارہ وضاحت کر سکتے ہیں؟
I like to drink iced matcha,مجھے آئسڈ مچا پینا پسند ہے
I like eating vegetables,مجھے سبزیاں کھانا پسند ہیں
Do you like cake?,کیا آپ کو کیک پسند ہے؟
It’s time to go,چلنے کا وقت ہو گیا ہے
I’m going to eat some cake,میں کچھ کیک کھانے جا رہا ہوں
I’m going to buy some cupcakes,میں کچھ کپکیک خریدنے جا رہا ہوں
I like to drink sweet tea,مجھے میٹھی چائے پینا پسند ہے
I like to drink iced mocha,مجھے آئسڈ موکا پینا پسند ہے
I’m going to drink some juice,میں جوس پینے جا رہا ہوں
I like to listen to music,مجھے موسیقی سننا پسند ہے
I’m drinking cold brew coffee,میں کولڈ برو کافی پی رہا ہوں
I’m drinking soy milk,میں سویا دودھ پی رہا ہوں
I need to wake up early tomorrow,مجھے کل جلدی اٹھنا ہے
I don’t like sugar,مجھے چینی پسند نہیں ہے
I’m drinking cappuccino with milk,میں دودھ کے ساتھ کیپوچینو پی رہا ہوں
Where can I buy tickets?,میں ٹکٹ کہاں خرید سکتا ہوں؟
I love reading,مجھے پڑھنا بہت پسند ہے
I’m going to drink some coffee,میں کافی پینے جا رہا ہوں
I’m going to drink iced matcha,میں آئسڈ مچا پینے جا رہا ہوں
I’m using the internet,میں انٹرنیٹ استعمال کر رہا ہوں
Do you want spinach smoothie?,کیا آپ کو اسپینچ کا اسموتھی چاہیے؟
Let’s play a board game,چلیں ایک بورڈ گیم کھیلتے ہیں
Do you want some iced tea?,کیا آپ کو ٹھنڈی چائے چاہیے؟
I’m going to drink chamomile tea,میں کیمومائل چائے پینے جا رہا ہوں
I love pizza,مجھے پیزا بہت پسند ہے
I’m going to drink apple cider vinegar,میں سیب کا سرکہ پینے جا رہا ہوں
I’m drinking iced tea with lemon,میں لیموں کے ساتھ ٹھنڈی چائے پی رہا ہوں
Please sit down,براہ کرم بیٹھ جائیں
I will call you in 10 minutes,میں آپ کو 10 منٹ میں کال کروں گا
I’m going to drink beetroot juice,میں چقندر کا رس پینے جا رہا ہوں
I like to drink pineapple juice,مجھے انناس کا رس پینا پسند ہے
This is a book,یہ ایک کتاب ہے
I like to drink espresso,مجھے ایسپریسو پینا پسند ہے
I’m going to drink cold brew,میں کولڈ برو پینے جا رہا ہوں
I need a facial,مجھے فیشل کی ضرورت ہے
I’m drinking apple cider vinegar,میں سیب کا سرکہ پی رہا ہوں
I don’t feel like doing anything,مجھے کچھ کرنے کا دل نہیں کر رہا
Do you like fruit juice?,کیا آپ کو پھلوں کا جوس پسند ہے؟
I like to drink cucumber water,مجھے کھیرے کا پانی پینا پسند ہے
I’m eating watermelon,میں تربوز کھا رہا ہوں
What’s for dinner?,رات کے کھانے میں کیا ہے؟
I need to buy some noodles,مجھے کچھ نوڈلز خریدنی ہیں
I need to exercise,مجھے ورزش کرنے کی ضرورت ہے
I think it’s a good idea,مجھے لگتا ہے کہ یہ اچھا خیال ہے
I like to drink strawberry juice,مجھے اسٹرابیری کا رس پینا پسند ہے
She is very busy,وہ بہت مصروف ہے
I want to visit Europe,میں یورپ جانا چاہتا ہوں
I’m going to drink strawberry juice,میں اسٹرابیری کا رس پینے جا رہا ہوں
I’m following a workout plan,میں ایک ورزش کا منصوبہ فالو کر رہا ہوں
I’m eating healthy food,میں صحت مند کھانا کھا رہا ہوں
I’m drinking some sweet lime juice,میں کچھ میٹھے چونے کا جوس پی رہا ہوں
I’m going to drink hot water,میں گرم پانی پینے جا رہا ہوں
I like to drink instant coffee,مجھے انسٹنٹ کافی پینا پسند ہے
Do you want some tea?,کیا آپ چائے پینا چاہتے ہیں؟
I’m going to drink lemonade,میں لیموں کا مشروب پینے جا رہا ہوں
I’m making some lemonade,میں لیموں پانی بنا رہا ہوں
I’m drinking herbal tea,میں جڑی بوٹیوں کی چائے پی رہا ہوں
I’m running late,میں دیر سے پہنچ رہا ہوں
I forgot my wallet,میں اپنا بٹوا بھول گیا ہوں
Can you make it a little sweeter?,کیا آپ اسے تھوڑا میٹھا کر سکتے ہیں؟
It is raining,بارش ہو رہی ہے
I’m eating spaghetti,میں اسپگیٹی کھا رہا ہوں
I like eating pasta,مجھے پاستا کھانا پسند ہے
I’m going to make some cookies,میں کچھ کوکیز بنانے جا رہا ہوں
I can’t believe it,مجھے یقین نہیں آ رہا
I need some water,مجھے پانی چاہیے
I need to go to the dentist,مجھے ڈینٹسٹ کے پاس جانا ہے
How are you?,آپ کیسے ہیں؟
This is very easy,یہ بہت آسان ہے
Do you want an apple?,کیا آپ کو سیب چاہیے؟
Do you want some fresh juice?,کیا آپ تازہ جوس چاہتے ہیں؟
I like drinking herbal tea,مجھے جڑی بوٹیوں کی چائے پینا پسند ہے
Good morning,صبح بخیر
I don’t like spicy food,مجھے مسالے دار کھانا پسند نہیں ہے
I’m going to the gym,میں جم جا رہا ہوں
Can I have a pineapple?,کیا مجھے انناس مل سکتا ہے؟
Do you want almond milk?,کیا آپ کو بادام کا دودھ چاہیے؟
I’m going to eat some cherries,میں کچھ چیریاں کھانے جا رہا ہوں
I’m making some coffee,میں کافی بنانے جا رہا ہوں
I’m drinking rice milk,میں چاول کا دودھ پی رہا ہوں
I’m drinking chamomile tea,میں کیمومائل چائے پی رہا ہوں
I went to the mountains,میں پہاڑوں پر گیا تھا
I’m drinking apple water,میں سیب کا پانی پی رہا ہوں
I like light coffee,مجھے ہلکی کافی پسند ہے
Can I have the menu?,کیا مجھے مینو مل سکتا ہے؟
I’m drinking mango juice,میں آم کا جوس پی رہا ہوں
Can you repeat that?,کیا آپ اسے دوبارہ کہہ سکتے ہیں؟
Do you like strong coffee?,کیا آپ کو مضبوط کافی پسند ہے؟
I’ll be back in 10 minutes,میں 10 منٹ میں واپس آؤں گا
I’m going to buy some makeup,میں کچھ میک اپ خریدنے جا رہا ہوں
I like to drink herbal water,مجھے جڑی بوٹیوں کا پانی پینا پسند ہے
Can I borrow your book?,کیا میں آپ کی کتاب لے سکتا ہوں؟
I like eating peaches,مجھے آڑو کھانا پسند ہے
I need to drink some water,مجھے تھوڑا پانی پینا ہے
Do you want black coffee?,کیا آپ سیاہ کافی چاہتے ہیں؟
I’m drinking fruit punch,میں پھلوں کا پنچ پی رہا ہوں
I’m drinking pineapple smoothie,میں انناس کا اسموتھی پی رہا ہوں
I wake up at 7 AM,میں صبح سات بجے اٹھتا ہوں
I’m drinking some juice,میں کچھ جوس پی رہا ہوں
Can I have some grapes?,کیا مجھے کچھ انگور مل سکتے ہیں؟
Can you make milk coffee?,کیا آپ دودھ والی کافی بنا سکتے ہیں؟
I’m going to drink almond milk,میں بادام کا دودھ پینے جا رہا ہوں
I’m looking for a restaurant,میں ایک ریستوران تلاش کر رہا ہوں
Do you want iced coffee?,کیا آپ کو ٹھنڈی کافی چاہیے؟
I like to drink rice milk,مجھے چاول کا دودھ پینا پسند ہے
I’m sorry for the misunderstanding,غلط فہمی کے لئے مجھے افسوس ہے
I don’t like watermelon,مجھے تربوز پسند نہیں ہے
I can’t find my phone,میں اپنا فون نہیں ڈھونڈ پا رہا ہوں
I’m looking for a new job,میں نیا کام تلاش کر رہا ہوں
I need some milk,مجھے دودھ چاہیے
I like to drink cappuccino with milk,مجھے دودھ کے ساتھ کیپوچینو پینا پسند ہے
Do you like this movie?,کیا آپ کو یہ فلم پسند ہے؟
I like to drink honey and ginger tea,مجھے شہد اور ادرک کی چائے پینا پسند ہے
I’m so proud of you,مجھے تم پر فخر ہے
I can’t wait for the weekend,میں ہفتے کے آخر کا انتظار نہیں کر سکتا
What time do you go to bed?,آپ کتنے بجے سوتے ہیں؟
I like cherries,مجھے چیریاں پسند ہیں
I’m drinking fresh grape juice,میں تازہ انگور کا جوس پی رہا ہوں
I’m drinking detox water,میں ڈی ٹاکس پانی پی رہا ہوں
I need to find a place to stay,مجھے ٹھہرنے کے لئے جگہ تلاش کرنی ہے
I’m drinking cold matcha,میں ٹھنڈی مچا پی رہا ہوں
I like playing cards,مجھے تاش کھیلنا پسند ہے
I like to drink rose tea,مجھے گلاب کی چائے پینا پسند ہے
I’m going to drink tea with honey,میں شہد والی چائے پینے جا رہا ہوں
I’m drinking oat milk,میں جو کا دودھ پی رہا ہوں
I’m going to buy some mangoes,میں کچھ آم خریدنے جا رہا ہوں
I’m drinking fruit soda,میں پھلوں کا سوڈا پی رہا ہوں
It’s raining outside,باہر بارش ہو رہی ہے
I like to eat rice,مجھے چاول کھانا پسند ہے
